replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
0852c335-8d92-4b50-ba3f-821deb7ae5e4;ALP vs NRG -1-2020-08-23.20.09;DFH Stadium;2020-08-23 20:09:49;loss;ALPINE ESPORTS;NRG;jordan;4284;Fennec;293;0;0;2;3;17;5;2;0;321;52.24;1863;1241;622;17;60;769;576;193;8;19;26.48;53.67;242;411;155;1497;495617;180.04;50.91;124.17;35.11;49.44;13.98;203.09;57.43;128.99;36.48;21.55;6.09;7.14;0.09;83;80.2;22.66;143.5;40.54;127.66;36.1;225.98;63.9;127.66;36.1;219.97;62.2;133.66;37.8;158.33;44.77;120.32;34.02;74.98;21.2;0;0
0852c335-8d92-4b50-ba3f-821deb7ae5e4;ALP vs NRG -1-2020-08-23.20.09;DFH Stadium;2020-08-23 20:09:49;loss;ALPINE ESPORTS;NRG;percy.;23;Octane;475;0;0;5;3;17;5;2;0;390;42.12;2024;1371;653;16;57;368;200;168;2;15;71.37;24.58;364;232;0;1556;511519;150.39;42.66;151.07;42.86;51.05;14.48;195.94;55.59;144.38;40.96;12.18;3.46;7.97;0.1;81;128.3;36.24;100.8;28.47;97.4;27.63;255.1;72.37;97.4;27.63;244.51;69.36;107.99;30.64;180.42;51.18;113.7;32.25;58.39;16.56;0;0
0852c335-8d92-4b50-ba3f-821deb7ae5e4;ALP vs NRG -1-2020-08-23.20.09;DFH Stadium;2020-08-23 20:09:49;loss;ALPINE ESPORTS;NRG;majicbear;23;Octane;384;0;0;3;3;17;5;1;0;379;52.44;2394;1574;820;18;77;373;153;220;2;21;51.87;42.45;274;276;56;1495;492470;169.05;48.21;141.58;40.37;40.05;11.42;208.13;59.35;123.96;35.35;18.58;5.3;7.04;0.11;66;126.8;35.82;88.5;25;85.16;24.28;265.51;75.72;85.16;24.28;247.73;70.65;102.93;29.35;195.43;55.73;100.39;28.63;54.85;15.64;0;1
0852c335-8d92-4b50-ba3f-821deb7ae5e4;ALP vs NRG -1-2020-08-23.20.09;DFH Stadium;2020-08-23 20:09:49;win;NRG;ALPINE ESPORTS;GarrettG;4284;Fennec;550;2;2;1;7;9;0;0;28.57;393;52.93;2385;1383;1002;18;85;441;197;244;3;23;15.78;28.91;405;474;110;1574;520762;159.82;45.18;136.55;38.6;57.37;16.22;214.91;60.76;125.32;35.43;13.5;3.82;8.42;0.13;65;95.7;27.03;95.2;26.89;76.7;21.68;277.04;78.32;76.7;21.68;237.47;67.13;116.27;32.87;163.18;46.13;126.47;35.75;64.09;18.12;0;0
0852c335-8d92-4b50-ba3f-821deb7ae5e4;ALP vs NRG -1-2020-08-23.20.09;DFH Stadium;2020-08-23 20:09:49;win;NRG;ALPINE ESPORTS;jstn.;23;Octane;748;3;0;3;4;9;0;0;75;405;53.18;2377;1898;479;24;42;790;660;130;8;11;22.77;65.8;84;515;140;1478;489846;179.44;50.73;131.09;37.06;43.21;12.22;176.55;49.91;140.24;39.64;36.95;10.45;7.54;0.08;98;105.1;29.69;135.1;38.16;81.2;22.95;272.54;77.05;81.2;22.95;210.47;59.5;143.26;40.5;164.18;46.41;98.28;27.78;91.28;25.8;1;0
0852c335-8d92-4b50-ba3f-821deb7ae5e4;ALP vs NRG -1-2020-08-23.20.09;DFH Stadium;2020-08-23 20:09:49;win;NRG;ALPINE ESPORTS;Squishy;23;Octane;534;0;2;4;6;9;0;0;0;422;54.74;2448;1782;666;22;50;579;343;236;4;13;34.93;48.02;334;433;57;1556;515535;153.77;43.48;143.84;40.67;56.06;15.85;202.85;57.36;125.08;35.37;25.74;7.28;9.16;0.09;106;132.2;37.34;102.2;28.87;73.28;20.72;280.39;79.28;73.28;20.72;239.96;67.85;113.71;32.15;184.26;52.1;104.26;29.48;65.15;18.42;0;0
a7d4557e-36cc-4aee-b7de-0e4f2be85b16;ALP vs NRG -2-2020-08-23.20.17;Urban Central (Dawn);2020-08-23 20:17:37;loss;ALPINE ESPORTS;NRG;majicbear;23;Octane;391;1;0;2;5;11;4;2;20;452;53.73;2698;1820;878;24;86;692;467;225;5;22;43.43;58.49;566;687;62;1602;529582;146.03;41.4;135.49;38.41;71.2;20.19;198.72;56.34;133.64;37.89;20.35;5.77;6.4;0.12;52;99.3;28.13;111.1;31.47;108.53;30.77;244.19;69.23;108.53;30.77;222.4;63.05;130.32;36.95;169.17;47.96;105.46;29.9;78.09;22.14;1;0
a7d4557e-36cc-4aee-b7de-0e4f2be85b16;ALP vs NRG -2-2020-08-23.20.17;Urban Central (Dawn);2020-08-23 20:17:37;loss;ALPINE ESPORTS;NRG;jordan;4284;Fennec;196;0;1;1;3;11;4;1;0;342;59.39;1933;1177;756;17;66;793;473;320;6;29;15.8;40.14;267;546;140;1459;479009;191.43;54.26;125.21;35.49;36.14;10.24;229.33;65.01;103.7;29.4;19.75;5.6;8.96;0.08;109;111.4;31.56;120.8;34.22;118.55;33.6;234.23;66.4;118.55;33.6;211.96;60.08;140.82;39.92;159.51;45.22;110.58;31.35;82.69;23.44;1;0
a7d4557e-36cc-4aee-b7de-0e4f2be85b16;ALP vs NRG -2-2020-08-23.20.17;Urban Central (Dawn);2020-08-23 20:17:37;loss;ALPINE ESPORTS;NRG;percy.;23;Octane;497;0;0;4;2;11;4;1;0;447;44.35;2655;1797;858;20;75;434;227;207;3;19;56.53;24.51;485;203;73;1650;543471;118.7;33.64;176.38;49.99;57.74;16.37;210.69;59.72;119.74;33.94;22.38;6.34;9.04;0.11;85;120.8;34.22;99.4;28.16;93.49;26.5;259.33;73.5;93.49;26.5;239.63;67.92;113.19;32.08;167.3;47.42;128.53;36.43;56.99;16.15;0;0
a7d4557e-36cc-4aee-b7de-0e4f2be85b16;ALP vs NRG -2-2020-08-23.20.17;Urban Central (Dawn);2020-08-23 20:17:37;win;NRG;ALPINE ESPORTS;GarrettG;4284;Fennec;517;3;0;1;4;10;1;1;75;395;49.09;2165;1443;722;19;68;537;321;216;4;20;22.03;49.74;450;527;90;1541;504011;161.05;46.06;131.04;37.47;57.59;16.47;205.7;58.83;120.39;34.43;23.58;6.74;8.27;0.14;59;92.1;26.09;137.1;38.84;91.89;26.28;257.79;73.72;91.89;26.28;234.8;67.15;114.88;32.85;153.07;43.77;136;38.89;60.61;17.33;0;1
