team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
KNIGHTS;.ZPS;5;2;40.00;1720;344;4;0.8;3;0.6;8;1.6;16;3.2;46;9.2;13;2.6;3;0.6;25;383.44;47.65;10943;2188.6;6844;1368.8;4099;819.8;81;16.2;360;72;2694;538.8;1407;281.4;1287;257.4;15;3;109;21.8;173.66;34.73;147.19;29.44;1362;272.4;1353;270.6;112;22.4;1548.16;2540221;508044.19;793.68;158.74;668.63;133.73;278.42;55.68;997.37;199.47;652.79;130.56;90.57;18.11;49.3;9.86;0.1;474;94.8;427;85.4;567.9;113.58;481.19;96.24;1259.53;251.91;1121.59;224.32;619.15;123.83;813;162.6;606.66;121.33;321.04;64.21;3;0.6;3;0.6
THE PEEPS;AYYJAYY;12;6;50.00;4477;373.08;8;0.67;3;0.25;22;1.83;32;2.67;108;9;22;1.83;5;0.42;25;391.82;46.77;28539;2378.25;19545;1628.75;8994;749.5;241;20.08;696;58;4988;415.67;2864;238.67;2124;177;36;3;169;14.08;575.46;47.96;421.3;35.11;2892;241;4411;367.58;671;55.92;1445.05;6064692;505391;2250.61;187.55;1672.5;139.38;494.26;41.19;2568.79;214.07;1621.67;135.14;226.91;18.91;136.65;11.39;0.12;1151;95.92;1582.1;131.84;1304.7;108.72;1065.25;88.77;3352.12;279.34;3081.92;256.83;1335.47;111.29;2287.75;190.65;1456.28;121.36;673.34;56.11;6;0.5;13;1.08
THE PEEPS;Allushin;12;6;50.00;4941;411.75;10;0.83;4;0.33;25;2.08;34;2.83;108;9;22;1.83;12;1;29.41;421.85;47.42;30595;2549.58;21029;1752.42;9566;797.17;252;21;837;69.75;8360;696.67;5488;457.33;2872;239.33;61;5.08;255;21.25;659.62;54.97;311.19;25.93;3950;329.17;4013;334.42;472;39.33;1525.76;6416018;534668.19;2036.79;169.73;1781.06;148.42;602.01;50.17;2592.97;216.08;1583.11;131.93;243.74;20.31;115.08;9.59;0.09;1246;103.83;1252.1;104.34;1565.9;130.49;1334.07;111.17;3085.75;257.15;2858.31;238.19;1561.53;130.13;2149.93;179.16;1392.14;116.01;877.78;73.15;17;1.42;13;1.08
SPACESTATION;Arsenal;15;11;73.33;5881;392.07;12;0.8;6;0.4;28;1.87;33;2.2;117;7.8;19;1.27;7;0.47;36.36;411.39;52.63;36102;2406.8;26628;1775.2;9474;631.6;343;22.87;806;53.73;8992;599.47;6016;401.07;2976;198.4;74;4.93;261;17.4;501.59;33.44;855.16;57.01;6239;415.93;7693;512.87;1374;91.6;1485.73;7485617;499041.12;2622.62;174.84;1901.3;126.75;746.37;49.76;3042.52;202.83;1960.38;130.69;267.36;17.82;140.68;9.38;0.12;1171;78.07;1671.9;111.46;1716.4;114.43;1368.54;91.24;3901.73;260.12;3403.51;226.9;1866.72;124.45;2552.7;170.18;1590.81;106.05;1126.75;75.12;19;1.27;14;0.93
TEAM ENVY;Atomic;9;3;33.33;3231;359;2;0.22;8;0.89;18;2;11;1.22;83;9.22;17;1.89;4;0.44;18.18;381.06;51.74;19999;2222.11;13842;1538;6157;684.11;165;18.33;520;57.78;3368;374.22;2092;232.44;1276;141.78;25;2.78;113;12.56;431.2;47.91;329.54;36.62;2269;252.11;2906;322.89;435;48.33;1505.33;4390351;487816.78;1483.36;164.82;1206.81;134.09;373.11;41.46;1658.78;184.31;1162.1;129.12;242.4;26.93;64.8;7.2;0.13;502;55.78;990.1;110.01;934.3;103.81;809.25;89.92;2254.04;250.45;2053.1;228.12;1010.2;112.24;1509.76;167.75;1033.49;114.83;520.04;57.78;10;1.11;5;0.56
G2 ESPORTS;Chicago;5;2;40.00;2289;457.8;5;1;3;0.6;11;2.2;19;3.8;36;7.2;13;2.6;2;0.4;26.32;450.86;42.82;14646;2929.2;10285;2057;4361;872.2;114;22.8;379;75.8;4495;899;2842;568.4;1653;330.6;32;6.4;137;27.4;378.89;75.78;166.85;33.37;2039;407.8;1217;243.4;374;74.8;1626.94;3046151;609230.19;764.83;152.97;843.85;168.77;377.62;75.52;1077.43;215.49;771.51;154.3;137.37;27.47;47.24;9.45;0.09;525;105;583;116.6;629;125.8;617.21;123.44;1369.09;273.82;1186.96;237.39;799.33;159.87;855.62;171.12;627.06;125.41;503.64;100.73;8;1.6;6;1.2
NRG;GarrettG;12;8;66.67;3669;305.75;8;0.67;4;0.33;16;1.33;37;3.08;89;7.42;12;1;5;0.42;21.62;391.6;51.41;26311;2192.58;16684;1390.33;9627;802.25;213;17.75;868;72.33;5577;464.75;2833;236.08;2744;228.67;35;2.92;244;20.33;324.91;27.08;368.04;30.67;4547;378.92;5070;422.5;746;62.17;1601.13;6215064;517922;1676.64;139.72;1655.27;137.94;741.05;61.75;2395.77;199.65;1489.51;124.13;187.67;15.64;96.69;8.06;0.12;783;65.25;1254.9;104.57;1367;113.92;1033.8;86.15;3039.16;253.26;2599.63;216.64;1473.32;122.78;1822.54;151.88;1444.22;120.35;806.19;67.18;12;1;8;0.67
THE PEEPS;Gyro.;12;6;50.00;4845;403.75;6;0.5;14;1.17;23;1.92;24;2;108;9;22;1.83;5;0.42;25;425.22;42.99;30414;2534.5;22417;1868.08;7997;666.42;252;21;695;57.92;5710;475.83;3837;319.75;1873;156.08;44;3.67;165;13.75;715.55;59.63;374.12;31.18;6112;509.33;2783;231.92;568;47.33;1536.06;6411761;534313.44;1972.82;164.4;1792.47;149.37;626.18;52.18;2574.87;214.57;1587.1;132.26;229.49;19.12;84.46;7.04;0.1;818;68.17;1495.3;124.61;1392.6;116.05;1188.2;99.02;3203.24;266.94;2990.23;249.19;1401.11;116.76;2299.1;191.59;1272.28;106.02;820.05;68.34;16;1.33;21;1.75
G2 ESPORTS;JKnaps;5;2;40.00;1703;340.6;3;0.6;5;1;2;0.4;16;3.2;36;7.2;13;2.6;7;1.4;18.75;446.87;45.83;14604;2920.8;10896;2179.2;3708;741.6;126;25.2;327;65.4;2905;581;1813;362.6;1092;218.4;20;4;94;18.8;264.69;52.94;196.61;39.32;1635;327;1547;309.4;208;41.6;1590.27;2992463;598492.62;832.88;166.58;833.03;166.61;326.81;65.36;1041.64;208.33;819.98;164;131.1;26.22;62.15;12.43;0.11;575;115;700.6;140.12;593.9;118.78;574.29;114.86;1418.44;283.69;1290.89;258.18;701.85;140.37;921.54;184.31;674.14;134.83;397.06;79.41;2;0.4;4;0.8
SPACESTATION;Retals;15;11;73.33;5294;352.93;5;0.33;5;0.33;31;2.07;36;2.4;117;7.8;19;1.27;6;0.4;13.89;366.48;51.77;33040;2202.67;23692;1579.47;9348;623.2;300;20;791;52.73;7389;492.6;4380;292;3009;200.6;54;3.6;253;16.87;598.42;39.89;749.61;49.97;5157;343.8;6429;428.6;1067;71.13;1506.71;7596807;506453.81;2484.79;165.65;2101.48;140.1;685.5;45.7;3264.84;217.66;1760.4;117.36;246.48;16.43;111.22;7.41;0.12;926;61.73;1644;109.6;1853.2;123.55;1505.38;100.36;3766.38;251.09;3374.77;224.98;1896.94;126.46;2449.5;163.3;1729.42;115.29;1092.83;72.86;12;0.8;14;0.93
