replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
500759cb-1a8e-4333-8244-ea94a2d5c77a;PPS vs G2 -2-2020-08-23.21.49;Urban Central (Dawn);2020-08-23 21:49:14;loss;THE PEEPS;G2 ESPORTS;1041;0;0;8;5;11;1;0;1309;138.18;6783;4794;1989;57;167;1477;948;529;10;48;154.27;94.06;1136;928;50;1411387;440.02;399.51;124.86;543.38;359.54;61.47;25.18;233;285.98;678.4;285.98;626.46;337.93;467.12;316.88;180.39;5;3
500759cb-1a8e-4333-8244-ea94a2d5c77a;PPS vs G2 -2-2020-08-23.21.49;Urban Central (Dawn);2020-08-23 21:49:14;win;G2 ESPORTS;THE PEEPS;861;1;1;2;11;5;0;9.09;1311;151.46;6889;4709;2180;53;199;1931;1134;797;13;72;121.01;127.32;983;726;218;1493416;371.29;434.07;153.09;569.5;331.86;57.08;27.9;265;258.08;700.37;258.08;570.29;388.16;403.73;326.94;227.8;3;5
691085be-1ff4-499f-b759-bf36d7d1b224;PPS vs G2 -3-2020-08-23.21.58;Utopia Coliseum (Dusk);2020-08-23 21:58:39;win;THE PEEPS;G2 ESPORTS;1753;5;5;6;10;9;4;50;1287;130.4;8258;5975;2283;69;195;1482;965;517;11;47;164.18;69.42;1369;917;133;1679631;518.96;496.35;165.27;666.72;436.86;77;23.54;260;306.13;874.45;306.13;788.26;392.22;587.32;373.86;219.4;3;2
691085be-1ff4-499f-b759-bf36d7d1b224;PPS vs G2 -3-2020-08-23.21.58;Utopia Coliseum (Dusk);2020-08-23 21:58:39;loss;G2 ESPORTS;THE PEEPS;1375;4;3;4;9;10;5;44.44;1249;125.06;8296;5837;2459;67;200;1610;865;745;10;59;168.87;111.33;876;882;135;1686631;530.02;453.84;193.63;626.98;469.98;80.52;31.37;279;350.24;827.25;350.24;790.56;386.92;566.48;392.6;218.4;2;3
4b9c129d-a60f-4b63-a6a0-2b33387c3de0;PPS vs G2 -5-2020-08-23.22.16;Champions Field;2020-08-23 22:16:56;win;THE PEEPS;G2 ESPORTS;1184;1;1;8;6;9;0;16.67;1253;138.24;6470;4721;1749;56;155;1460;1098;362;12;32;131.96;76.19;802;686;22;1399598;401.06;418.53;114.57;551.48;326.07;56.61;25.26;245;220.75;713.38;220.75;633.81;300.34;469.59;313.11;151.45;5;4
4b9c129d-a60f-4b63-a6a0-2b33387c3de0;PPS vs G2 -5-2020-08-23.22.16;Champions Field;2020-08-23 22:16:56;loss;G2 ESPORTS;THE PEEPS;714;0;0;4;9;6;1;0;1253;126.3;6481;4243;2238;50;197;1932;1188;744;13;66;176.6;58.4;984;771;118;1456457;369.8;381.8;179.28;496.69;369.89;64.29;27.69;264;331.6;599.27;331.6;543.32;387.57;357.6;353.69;219.59;4;5
b626da60-3489-491c-952a-bd1ac7221e8b;NV vs NRG -1-2020-08-23.23.15;DFH Stadium;2020-08-23 23:15:06;loss;TEAM ENVY;NRG;643;0;0;3;7;8;4;0;1200;144.64;6688;4586;2102;55;187;1497;912;585;10;51;110.3;125.02;582;947;86;1480006;458.72;408.14;149.53;561.04;380.64;74.72;23.32;182;283.51;732.88;283.51;682.69;333.7;528.58;309.2;178.61;3;5
b626da60-3489-491c-952a-bd1ac7221e8b;NV vs NRG -1-2020-08-23.23.15;DFH Stadium;2020-08-23 23:15:06;win;NRG;TEAM ENVY;1375;4;3;5;8;7;0;50;1240;164.87;6803;4657;2146;59;192;1678;1032;646;12;52;80.67;113.39;758;1297;166;1535267;423.41;429.42;170.22;583.82;363.94;75.28;23.71;247;235.91;787.14;235.91;647.51;375.54;465.39;346.92;210.72;5;3
dc91198c-e265-4069-a9bb-a77ba0cca571;NV vs NRG -2-2020-08-23.23.21;Urban Central (Dawn);2020-08-23 23:21:45;loss;TEAM ENVY;NRG;1246;0;0;13;2;18;1;0;1107;156.05;5821;3713;2108;48;174;1105;736;369;9;33;128.69;117.7;661;1202;161;1368211;465.51;361.62;123.92;501.81;370.57;78.66;20.79;176;330.27;620.78;330.27;691.08;259.97;545.55;288.05;117.45;4;2
dc91198c-e265-4069-a9bb-a77ba0cca571;NV vs NRG -2-2020-08-23.23.21;Urban Central (Dawn);2020-08-23 23:21:45;win;NRG;TEAM ENVY;769;1;1;2;18;2;0;5.56;1249;157.85;6519;4594;1925;60;171;1783;1198;585;14;55;82.71;120.17;795;1501;223;1470084;370.83;418.97;155.35;522.65;348.78;73.73;22.74;239;212.19;732.96;212.19;504.25;440.91;347.97;316.3;280.9;2;4
6f79ed79-6649-4833-a49d-3f963777f706;NV vs NRG -3-2020-08-23.23.28;Neo Tokyo (Standard);2020-08-23 23:28:57;win;NRG;TEAM ENVY;992;2;2;5;9;6;1;22.22;1222;162.89;6563;4669;1894;59;162;1029;509;520;6;47;76.13;133.02;1191;1333;98;1524386;402.65;406.85;186.75;592.91;349.27;54.07;23.27;255;234.3;761.95;234.3;644.45;351.81;447.17;356.13;192.95;1;2
6f79ed79-6649-4833-a49d-3f963777f706;NV vs NRG -3-2020-08-23.23.28;Neo Tokyo (Standard);2020-08-23 23:28:57;loss;TEAM ENVY;NRG;927;1;1;6;6;9;2;16.67;1187;145.2;6656;4652;2004;54;173;708;292;416;4;38;145.53;76.64;730;790;105;1489185;430.62;430.56;138.03;539.01;401.77;58.43;24.52;193;275.81;723.41;275.81;696.56;302.66;528.99;320;150.24;2;1
d5fd4843-b8bd-4aae-b6f2-40fdadd50644;NV vs PK -5-2020-08-23.21.19;Champions Field;2020-08-23 21:19:07;win;TEAM ENVY;KNIGHTS;1320;4;4;4;10;4;0;40;1249;163.49;7108;5095;2013;67;177;1546;1042;504;13;49;99.27;149.06;812;1654;285;1460548;479.62;418.4;128.78;591.89;372.37;62.53;22.92;167;214.17;812.63;214.17;672.82;353.97;498.22;315.47;213.1;5;5
d5fd4843-b8bd-4aae-b6f2-40fdadd50644;NV vs PK -5-2020-08-23.21.19;Champions Field;2020-08-23 21:19:07;loss;KNIGHTS;TEAM ENVY;699;0;0;6;4;10;4;0;1161;148.79;6437;4307;2130;51;180;1206;623;583;7;45;118.62;96.12;920;882;84;1435698;514.14;349.83;162.69;607.97;372.64;46.03;20.42;189;306.84;719.82;306.84;706.9;319.77;533.09;320.72;172.84;5;5
c43f3c13-9e13-4bf8-8210-9cffa4c7e411;NV vs PK -3-2020-08-23.21.03;Utopia Coliseum (Dusk);2020-08-23 21:03:07;loss;TEAM ENVY;KNIGHTS;1114;0;0;10;5;16;4;0;1159;146.76;6567;4626;1941;54;171;1068;677;391;8;35;86.81;102.37;826;761;143;1444716;524.14;364.21;132.08;583.17;386.07;51.18;23.32;189;336.52;683.92;336.52;762.43;258.01;563.76;320.91;135.77;4;4
c43f3c13-9e13-4bf8-8210-9cffa4c7e411;NV vs PK -3-2020-08-23.21.03;Utopia Coliseum (Dusk);2020-08-23 21:03:07;win;KNIGHTS;TEAM ENVY;1169;4;3;2;16;5;0;25;1190;164.07;6841;5046;1795;66;161;1653;1072;581;13;50;84.92;147.31;965;1633;228;1487710;478.3;388.48;153.75;603.24;370.88;46.43;24.86;212;207.29;813.25;207.29;620.23;400.32;414.52;396.38;209.64;4;4
b34ed86c-9133-4c69-abea-1627dfdfbd81;NV vs PK -4-2020-08-23.21.11;Mannfield (Night);2020-08-23 21:11:12;loss;TEAM ENVY;KNIGHTS;872;2;2;1;16;6;3;12.5;1259;164.7;7158;5256;1902;65;164;1506;797;709;11;58;129.75;104.6;1057;1245;334;1570255;432.63;436.73;175.54;592.19;393.28;59.43;23.83;198;267.26;777.62;267.26;571.21;473.69;383.39;377.58;283.92;2;3
b34ed86c-9133-4c69-abea-1627dfdfbd81;NV vs PK -4-2020-08-23.21.11;Mannfield (Night);2020-08-23 21:11:12;win;KNIGHTS;TEAM ENVY;1358;3;1;9;6;16;2;50;1073;136.73;6129;4302;1827;50;169;619;274;345;3;32;98.57;125.28;732;779;25;1435700;564.77;349.13;136.86;611.65;382.15;56.97;23.86;232;262.8;787.96;262.8;835.01;215.76;662.26;287.97;100.53;3;2
