team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
KNIGHTS;.ZPS;21;10;47.62;7562;360.1;20;0.95;10;0.48;27;1.29;58;2.76;152;7.24;45;2.14;16;0.76;34.48;388.76;51.27;47423;2258.24;30609;1457.57;16814;800.67;372;17.71;1503;71.57;10282;489.62;5096;242.67;5186;246.95;63;3;433;20.62;596.1;28.39;897.23;42.73;6560;312.38;7172;341.52;1333;63.48;1548.01;10796598;514123.72;3455.06;164.53;2720.5;129.55;1207.12;57.48;4446.93;211.76;2525.7;120.27;410.1;19.53;209.17;9.96;0.1;2079;99;2370.4;112.88;2211.6;105.31;1924.6;91.65;5458.12;259.91;4826.32;229.82;2556.4;121.73;3537.3;168.44;2473.24;117.77;1372.15;65.34;16;0.76;21;1
TEAM METEOR;.saucy;1;0;0.00;323;323;0;0;0;0;4;4;0;0;17;17;2;2;0;0;0;397;41.33;2517;2517;1544;1544;973;973;16;16;87;87;559;559;400;400;159;159;4;4;14;14;69.7;69.7;17.13;17.13;379;379;76;76;0;0;1496;520927;520927;182.76;182.76;131.23;131.23;49.65;49.65;238.71;238.71;105.62;105.62;19.32;19.32;7.93;7.93;0.11;73;73;137.6;137.6;99.5;99.5;107.08;107.08;256.56;256.56;277.93;277.93;85.71;85.71;221.71;221.71;95.8;95.8;46.13;46.13;1;1;1;1
THE PEEPS;AYYJAYY;10;9;90.00;3124;312.4;5;0.5;7;0.7;9;0.9;29;2.9;59;5.9;10;1;3;0.3;17.24;424.58;50.5;24164;2416.4;17718;1771.8;6446;644.6;229;22.9;496;49.6;5718;571.8;3958;395.8;1760;176;48;4.8;136;13.6;462.08;46.21;413.52;41.35;2702;270.2;4917;491.7;691;69.1;1543.09;5017040;501704;1508.31;150.83;1395.54;139.55;505.53;50.55;1912.93;191.29;1245.82;124.58;250.62;25.06;93.74;9.37;0.11;816;81.6;1163.1;116.31;1142.2;114.22;865.06;86.51;2544.33;254.43;2117.63;211.76;1291.76;129.18;1547.41;154.74;1114.59;111.46;747.36;74.74;8;0.8;14;1.4
1ST;Admin-Fridgy;1;0;0.00;0;0;0;0;0;0;0;0;0;0;12;12;2;2;0;0;0;0;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.29;2.29;0;0;0;0;2.29;2.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.29;2.29;2.29;2.29;0;0;2.29;2.29;0;0;0;0;0;0;0;0
THE 1ST GRADERS;Adverse;21;11;52.38;7748;368.95;12;0.57;11;0.52;34;1.62;66;3.14;218;10.38;49;2.33;17;0.81;18.18;378.66;42.14;49578;2360.86;34090;1623.33;15488;737.52;380;18.1;1315;62.62;13331;634.81;8611;410.05;4720;224.76;99;4.71;386;18.38;1320.47;62.88;695.55;33.12;6703;319.19;3748;178.48;1228;58.48;1557.13;12013395;572066.44;3506.94;167;3504.21;166.87;1111.92;52.95;4508;214.67;3109.66;148.08;505.43;24.07;233.99;11.14;0.1;2310;110;2419.2;115.2;2966.4;141.26;2598.39;123.73;5524.73;263.08;5103.53;243.03;3019.56;143.79;3645.78;173.61;2781.69;132.46;1695.61;80.74;13;0.62;25;1.19
CONTINUUM;Aeon;23;13;56.52;8986;390.7;21;0.91;6;0.26;40;1.74;68;2.96;198;8.61;35;1.52;12;0.52;30.88;386.28;50.13;53409;2322.13;35148;1528.17;18261;793.96;469;20.39;1643;71.43;13604;591.48;7474;324.96;6130;266.52;98;4.26;546;23.74;773.5;33.63;1047.58;45.55;7231;314.39;12203;530.57;2369;103;1579.8;12220993;531347.5;3428.8;149.08;3482.65;151.42;1201.66;52.25;5129.67;223.03;2573.22;111.88;410.23;17.84;156.34;6.8;0.12;1298;56.43;2523.7;109.73;2719.1;118.22;2344.45;101.93;5768.64;250.81;5190.19;225.66;2922.91;127.08;3704.96;161.09;2824.67;122.81;1583.5;68.85;25;1.09;29;1.26
NEFARIOUS;Ahduhm;22;10;45.45;7997;363.5;8;0.36;12;0.55;46;2.09;43;1.95;178;8.09;40;1.82;15;0.68;18.6;432.97;44.66;56368;2562.18;39634;1801.55;16734;760.64;466;21.18;1432;65.09;11027;501.23;6785;308.41;4242;192.82;76;3.45;369;16.77;1440.35;65.47;789.64;35.89;8816;400.73;6767;307.59;745;33.86;1532.32;11451977;520544.41;3634.86;165.22;3024.11;137.46;1191.17;54.14;4215.82;191.63;3060.16;139.1;574.17;26.1;218.02;9.91;0.13;1666;75.73;3017.3;137.15;2202.1;100.1;1923.44;87.43;5926.68;269.39;5226.91;237.59;2623.24;119.24;3868.87;175.86;2541.9;115.54;1439.34;65.42;19;0.86;20;0.91
THE PEEPS;Allushin;10;9;90.00;3652;365.2;8;0.8;7;0.7;12;1.2;33;3.3;59;5.9;10;1;1;0.1;24.24;440.39;46.53;24824;2482.4;16652;1665.2;8172;817.2;195;19.5;699;69.9;6076;607.6;3331;333.1;2745;274.5;38;3.8;232;23.2;455.46;45.55;251.19;25.12;3662;366.2;2678;267.8;496;49.6;1579.31;5154514;515451.41;1425.91;142.59;1471.84;147.18;524.98;52.5;1993.58;199.36;1212.86;121.29;216.29;21.63;86.77;8.68;0.1;893;89.3;1038.3;103.83;1116.2;111.62;917.32;91.73;2505.41;250.54;2090.61;209.06;1332.15;133.21;1469.5;146.95;1207.19;120.72;746.03;74.6;12;1.2;10;1
XSET;AlphaKep;14;5;35.71;4388;313.43;6;0.43;9;0.64;18;1.29;24;1.71;112;8;31;2.21;7;0.5;25;423.44;50.77;35321;2522.93;24849;1774.93;10472;748;295;21.07;913;65.21;8156;582.57;5127;366.21;3029;216.36;59;4.21;276;19.71;601.52;42.97;550.53;39.32;6116;436.86;4902;350.14;848;60.57;1565.96;7435369;531097.81;2119.99;151.43;2100.88;150.06;794.19;56.73;2952.27;210.88;1794.43;128.17;268.36;19.17;116.32;8.31;0.1;1184;84.57;1675.6;119.69;1621.8;115.84;1506.14;107.58;3508.94;250.64;3152.06;225.15;1863.03;133.07;2269.89;162.14;1707.59;121.97;1037.6;74.11;23;1.64;14;1
TEAM FRONTLINE;Andy;18;12;66.67;6878;382.11;9;0.5;11;0.61;31;1.72;53;2.94;126;7;20;1.11;7;0.39;16.98;410.83;53.44;42827;2379.28;30439;1691.06;12388;688.22;376;20.89;1130;62.78;10202;566.78;6410;356.11;3792;210.67;76;4.22;346;19.22;548.37;30.47;499.86;27.77;4763;264.61;7340;407.78;1245;69.17;1583.69;9427311;523739.5;2551.51;141.75;2713.36;150.74;951.34;52.85;3295.48;183.08;2561.81;142.32;358.94;19.94;113.51;6.31;0.09;1241;68.94;1946.3;108.13;2139.2;118.84;1697.31;94.3;4518.92;251.05;3846.17;213.68;2370.07;131.67;2804.35;155.8;1975.64;109.76;1436.22;79.79;14;0.78;18;1
