replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
ffd0d53b-3921-49d0-b375-1e6a98fc80f6;SSG vs ZOO G2 2020-08-15.10.50;DFH Stadium;2020-08-15 10:50:26;loss;ZOOKEEPERS;SPACESTATION;2091;3;3;10;10;18;4;30;1072;144.84;12442;8007;4435;97;378;2300;1262;1038;15;92;238.51;156.16;1576;1630;161;3075333;1026.25;860.66;266.61;1230.74;803.38;119.39;42.23;399;627;1526.52;627;1536.31;617.2;1149.5;687.77;316.24;5;5
ffd0d53b-3921-49d0-b375-1e6a98fc80f6;SSG vs ZOO G2 2020-08-15.10.50;DFH Stadium;2020-08-15 10:50:26;win;SPACESTATION;ZOOKEEPERS;2046;4;3;6;18;10;3;22.22;1227;168.48;14929;11180;3749;146;343;3538;2383;1155;31;105;211.35;336.29;2234;3575;697;3206920;957.6;847.99;349.7;1275.84;771.95;107.49;51.16;440;532.48;1622.8;532.48;1276.73;878.56;874.57;761.65;519.06;5;5
292047a9-ab7f-44e3-85e3-ab7a9e4c43ec;PPS vs XST G2 2020-08-15.12.47;DFH Stadium;2020-08-15 12:47:42;win;THE PEEPS;XSET;1407;5;4;1;15;2;2;33.33;1304;138.82;7943;5636;2307;66;190;1883;1116;767;13;63;145.49;106.14;1195;893;182;1569450;483.01;440.04;163.51;612.6;398.87;75.07;21.39;220;281.86;804.69;281.86;647.13;439.42;473.03;348.21;265.31;2;4
292047a9-ab7f-44e3-85e3-ab7a9e4c43ec;PPS vs XST G2 2020-08-15.12.47;DFH Stadium;2020-08-15 12:47:42;loss;XSET;THE PEEPS;1134;2;2;8;2;15;5;100;1219;151.1;7153;4873;2280;59;190;1227;654;573;8;45;86.34;116.91;1447;1042;158;1585258;483.38;408.6;201.47;670.74;372.72;49.98;23.64;216;334.84;758.6;334.84;765.16;328.29;595.17;319.84;178.44;4;2
d6d58fa1-da6a-4017-8938-333b426c1913;KC vs VAL G2 2020-08-15.14.26;DFH Stadium;2020-08-15 14:26:43;win;KC PIONEERS;VALORSGG;1140;5;3;0;10;2;2;50;1217;148.61;7157;4868;2289;60;191;1543;869;674;12;60;115.15;135.57;1188;1157;301;1628433;480.64;431.79;205.28;644.61;387.02;86.09;22.11;205;311.51;806.21;311.51;683.39;434.33;480.9;379.17;257.65;2;3
d6d58fa1-da6a-4017-8938-333b426c1913;KC vs VAL G2 2020-08-15.14.26;DFH Stadium;2020-08-15 14:26:43;loss;VALORSGG;KC PIONEERS;851;2;2;3;2;10;5;100;1266;133.91;7762;5667;2095;64;182;1722;1155;567;12;48;211.07;70.93;873;754;43;1593956;500.08;463.74;154.37;596.5;441.6;80.1;24.19;231;342.38;775.82;342.38;769.54;348.65;577.11;345.91;195.17;3;2
0d8bb5d0-d3bc-4f6b-bdaf-a9218054fab4;CLT vs EU-4-2020-08-16.00.21;Urban Central (Dawn);2020-08-16 00:21:57;win;CLT;EUNITED;795;2;0;2;4;9;1;50;1298;142.55;6903;4508;2395;53;213;1153;614;539;7;48;105.55;81.25;1064;808;90;1480299;438.95;404.7;151.53;571.95;374.41;48.82;23.29;221;239.1;756.07;239.1;701.13;294.04;528.22;312.21;154.73;4;3
0d8bb5d0-d3bc-4f6b-bdaf-a9218054fab4;CLT vs EU-4-2020-08-16.00.21;Urban Central (Dawn);2020-08-16 00:21:57;loss;EUNITED;CLT;797;1;1;2;9;4;2;11.11;1157;159.26;6432;4392;2040;55;175;1525;907;618;11;54;103.84;136.01;808;1016;208;1466604;453.5;370.27;168.4;594.35;330.41;67.4;20.56;197;285.68;706.48;285.68;621.09;371.07;461.01;307.33;223.83;3;4
5f20950a-ddef-4291-a7a6-364c7e3dd7ff;ALP vs CW G1 2020-08-16.12.38;DFH Stadium;2020-08-16 12:38:29;win;ALPINE ESPORTS;CRIMSON WINGS;1081;2;2;5;6;8;1;33.33;1317;167.85;7337;5006;2331;65;211;2264;1529;735;18;68;116.24;98.48;1022;1575;266;1496569;429.12;400.52;167.27;592.61;353.94;50.36;22.6;247;301.66;695.27;301.66;580;416.92;409.81;330.55;256.56;4;3
5f20950a-ddef-4291-a7a6-364c7e3dd7ff;ALP vs CW G1 2020-08-16.12.38;DFH Stadium;2020-08-16 12:38:29;loss;CRIMSON WINGS;ALPINE ESPORTS;811;1;1;4;8;6;2;12.5;1119;130.01;6059;3682;2377;43;204;855;381;474;5;42;121.28;109.73;1013;550;132;1374442;533.39;354.44;108.46;594.96;349.98;51.33;26.51;275;230.41;765.86;230.41;743.67;252.61;543.33;323.35;129.59;3;4
2425f741-f6af-4a49-bf77-9f193c9a60c0;VAL vs DR G1 2020-08-15.15.37;DFH Stadium;2020-08-15 15:37:32;loss;DRIP;VALORSGG;989;2;1;5;4;9;3;50;1213;143.16;7623;5023;2600;62;231;1473;714;759;8;67;139.71;75.27;788;1070;90;1655934;452.83;516.89;138.88;612.23;426.83;69.53;35.04;380;322.99;785.61;322.99;724.26;384.34;522.74;364.98;220.87;2;1
