team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
DRIP;9;0;0.00;7894;877.11;9;1;7;0.78;42;4.67;51;5.67;102;11.33;36;4;17.65;1215.56;137.62;63293;7032.56;42618;4735.33;20675;2297.22;497;55.22;1786;198.44;11128;1236.44;5668;629.78;5460;606.67;63;7;461;51.22;1273.96;141.55;675.46;75.05;7681;853.44;6809;756.56;637;70.78;13731461;1525717.88;4337.34;481.93;4070.58;452.29;1159.35;128.82;5210.17;578.91;3836.1;426.23;520.99;57.89;297.5;33.06;0;3158;350.89;6461.49;717.94;3105.77;345.09;6678.14;742.02;2889.14;321.02;5044.17;560.46;2953.3;328.14;1569.84;174.43;21;2.33;20;2.22
CLT;15;10;66.67;16287;1085.8;36;2.4;28;1.87;56;3.73;135;9;95;6.33;21;1.4;26.67;1233.53;149.66;107900;7193.33;70142;4676.13;37758;2517.2;866;57.73;3313;220.87;24083;1605.53;12961;864.07;11122;741.47;154;10.27;996;66.4;1689.06;112.6;1514.85;100.99;17504;1166.93;16123;1074.87;2397;159.8;24239358;1615957.25;6502.25;433.48;6693.06;446.2;2706.71;180.45;9155.04;610.34;5894.7;392.98;852.24;56.82;374.78;24.99;0;3436;229.07;11657.78;777.19;4244.24;282.95;10199.32;679.95;5702.6;380.17;7407.56;493.84;5195.55;346.37;3298.83;219.92;42;2.8;34;2.27
72PC;18;9;50.00;20299;1127.72;37;2.06;31;1.72;85;4.72;126;7;152;8.44;35;1.94;29.37;1177.39;144.67;127002;7055.67;85724;4762.44;41278;2293.22;1024;56.89;3533;196.28;27756;1542;16306;905.89;11450;636.11;195;10.83;967;53.72;2286.85;127.05;1845.27;102.51;16231;901.72;17172;954;3127;173.72;28633252;1590736.25;8786.27;488.13;8164.49;453.58;2627.48;145.97;11002.77;611.26;7438.79;413.27;1136.75;63.15;483.68;26.87;0;4496;249.78;13930.8;773.93;5647.45;313.75;13064.74;725.82;6513.52;361.86;9546.73;530.37;6351.05;352.84;3680.39;204.47;62;3.44;58;3.22
G2 ESPORTS;11;9;81.82;13709;1246.27;34;3.09;26;2.36;47;4.27;110;10;67;6.09;15;1.36;30.91;1284.36;151.58;82299;7481.73;56380;5125.45;25919;2356.27;696;63.27;2209;200.82;24030;2184.55;15195;1381.36;8835;803.18;182;16.55;784;71.27;1278.32;116.21;1111.2;101.02;12384;1125.82;13190;1199.09;3118;283.45;17397506;1581591.5;4717.38;428.85;4726.55;429.69;2062.94;187.54;6420.51;583.68;4409.52;400.87;676.79;61.53;287.63;26.15;0;2671;242.82;8420.56;765.51;3086.27;280.57;6769.75;615.43;4736.96;430.63;4805.47;436.86;3850.14;350.01;2851.24;259.2;35;3.18;41;3.73
ZOOKEEPERS;15;4;26.67;18076;1205.07;33;2.2;31;2.07;72;4.8;139;9.27;131;8.73;44;2.93;23.74;1135.47;155.07;116537;7769.13;80092;5339.47;36445;2429.67;977;65.13;3236;215.73;25727;1715.13;15428;1028.53;10299;686.6;185;12.33;914;60.93;1985.56;132.37;1829.39;121.96;13752;916.8;17584;1172.27;3031;202.07;26687800;1779186.62;8701.49;580.1;7477.05;498.47;2394.74;159.65;10574.04;704.94;6887.33;459.16;1111.94;74.13;390;26;0;3580;238.67;13424.99;895;5148.37;343.22;12160.69;810.71;6412.52;427.5;8904.22;593.61;6152.15;410.14;3516.93;234.46;60;4;55;3.67
1ST;1;0;0.00;1304;1304;1;1;1;1;8;8;8;8;12;12;2;2;12.5;1148;178.41;8398;8398;5877;5877;2521;2521;68;68;230;230;2264;2264;1377;1377;887;887;15;15;80;80;193.42;193.42;139.66;139.66;989;989;998;998;138;138;2009101;2009101;523.88;523.88;587.36;587.36;207.68;207.68;696.27;696.27;543.58;543.58;79.06;79.06;32.79;32.79;0;350;350;883.95;883.95;434.97;434.97;806.52;806.52;512.39;512.39;586.02;586.02;448.21;448.21;284.68;284.68;3;3;2;2
VERSION1;16;10;62.50;16304;1019;31;1.94;21;1.31;52;3.25;138;8.62;98;6.12;29;1.81;22.46;1202.88;149.04;118329;7395.56;81058;5066.12;37271;2329.44;1016;63.5;3251;203.19;26747;1671.69;14870;929.38;11877;742.31;184;11.5;1034;64.62;1938.57;121.16;1479.58;92.47;14885;930.31;20791;1299.44;3692;230.75;25958456;1622403.5;7793.86;487.12;7277.42;454.84;2579.07;161.19;9784.57;611.54;6857.28;428.58;1008.5;63.03;335.56;20.97;0;3266;204.12;12865.98;804.12;4784.36;299.02;10870.73;679.42;6779.54;423.72;7827.95;489.25;5886.84;367.93;3935.56;245.97;70;4.38;38;2.38
PLOT TWIST;23;10;43.48;27608;1200.35;44;1.91;37;1.61;133;5.78;214;9.3;215;9.35;46;2;20.56;1125.65;141.98;156881;6820.91;107816;4687.65;49065;2133.26;1308;56.87;4221;183.52;35207;1530.74;21507;935.09;13700;595.65;258;11.22;1198;52.09;3235.08;140.66;2239.91;97.39;22538;979.91;22903;995.78;4377;190.3;37122280;1614012.12;11521.89;500.95;10231.87;444.86;3654.03;158.87;14190.3;616.97;9570.68;416.12;1646.79;71.6;459.5;19.98;0;4453;193.61;17936.89;779.86;7470.9;324.82;16553.4;719.71;8854.34;384.97;12248.69;532.55;8018.3;348.62;5140.78;223.51;63;2.74;86;3.74
KC PIONEERS;20;13;65.00;21364;1068.2;46;2.3;34;1.7;76;3.8;181;9.05;120;6;29;1.45;25.41;1288.3;145.76;150417;7520.85;105097;5254.85;45320;2266;1291;64.55;3901;195.05;38548;1927.4;23689;1184.45;14859;742.95;286;14.3;1285;64.25;2819.38;140.97;1850.32;92.52;23525;1176.25;23602;1180.1;4711;235.55;31574084;1578704.25;8809.05;440.45;9021.86;451.09;3255.35;162.77;12495.69;624.78;7226.03;361.3;1364.46;68.22;481.19;24.06;0;4580;229;15472.75;773.64;5613.52;280.68;12607.81;630.39;8478.46;423.92;8888.96;444.45;7235.8;361.79;4961.52;248.08;51;2.55;67;3.35
VALORSGG;13;4;30.77;13180;1013.85;22;1.69;18;1.38;65;5;74;5.69;125;9.62;42;3.23;29.73;1314.31;139.91;98414;7570.31;68569;5274.54;29845;2295.77;787;60.54;2489;191.46;19189;1476.08;11331;871.62;7858;604.46;129;9.92;666;51.23;2049.21;157.63;1012.61;77.89;13624;1048;10208;785.23;1627;125.15;20168852;1551450.12;5967.67;459.05;5603.26;431.02;2201.74;169.36;7579.03;583;5399.96;415.38;793.66;61.05;324.67;24.97;0;2894;222.62;9830.37;756.18;3942.25;303.25;9273.24;713.33;4499.39;346.11;6929.12;533.01;4311.22;331.63;2532.27;194.79;30;2.31;33;2.54
