replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
5ec85758-1d46-4d32-8854-c3a03fe7f458;NV vs 72 G1 2020-08-22.09.37;Mannfield (Night);2020-08-22 09:37:55;win;TEAM ENVY;72PC;mist;23;Octane;438;2;1;0;4;3;1;0;50;393;53.89;2396;1914;482;27;45;912;744;168;9;15;49.27;32.32;245;721;164;1649;524150;124.19;36.73;151.68;44.85;62.29;18.42;161.15;47.65;166.92;49.36;10.1;2.99;6.76;0.14;50;115.3;33.52;135.2;39.3;91.66;27.1;246.51;72.9;91.66;27.1;210.76;62.33;127.4;37.67;157.23;46.49;98.61;29.16;82.33;24.35;3;2
5ec85758-1d46-4d32-8854-c3a03fe7f458;NV vs 72 G1 2020-08-22.09.37;Mannfield (Night);2020-08-22 09:37:55;win;TEAM ENVY;72PC;Turbopolsa;4284;Fennec;297;1;0;2;1;3;1;0;100;325;55.47;1835;1038;797;14;73;458;287;171;3;15;21.74;24.25;134;406;12;1412;456552;196.71;57.67;105.76;31;38.64;11.33;207.29;60.77;116.28;34.09;17.53;5.14;6.7;0.12;58;112.1;32.59;104.2;30.29;106.26;31.15;234.85;68.85;106.26;31.15;221.45;64.92;119.66;35.08;156.03;45.74;116.64;34.19;68.45;20.07;1;1
5ec85758-1d46-4d32-8854-c3a03fe7f458;NV vs 72 G1 2020-08-22.09.37;Mannfield (Night);2020-08-22 09:37:55;loss;72PC;TEAM ENVY;Jacob;4770;Dominus;223;0;1;1;0;6;3;2;0;408;55.44;2474;1901;573;23;52;793;615;178;8;18;32.61;47.54;621;417;200;1631;530808;125.6;36.49;161.05;46.79;57.53;16.72;212.8;61.83;118.56;34.45;12.83;3.73;8.35;0.13;66;108.9;31.66;110.1;32.01;107.43;31.21;236.75;68.79;107.43;31.21;213.8;62.12;130.39;37.88;158.72;46.11;97.26;28.26;88.21;25.63;3;0
5ec85758-1d46-4d32-8854-c3a03fe7f458;NV vs 72 G1 2020-08-22.09.37;Mannfield (Night);2020-08-22 09:37:55;loss;72PC;TEAM ENVY;Wonder;23;Octane;250;1;0;1;1;6;3;0;100;396;46.28;2175;1311;864;15;78;491;170;321;2;29;47.4;24.76;192;135;39;1629;523332;136.36;39.97;146.09;42.82;58.73;17.21;189.5;55.54;140.25;41.11;11.44;3.35;10.67;0.1;104;78.5;22.82;140.6;40.87;133.99;39.27;207.19;60.73;133.99;39.27;184.18;53.98;157;46.02;122.55;35.92;137.22;40.22;81.4;23.86;1;1
5ec85758-1d46-4d32-8854-c3a03fe7f458;NV vs 72 G1 2020-08-22.09.37;Mannfield (Night);2020-08-22 09:37:55;loss;72PC;TEAM ENVY;Tynottyler;4284;Fennec;247;0;0;1;2;6;3;1;0;377;46.69;2244;1604;640;18;58;423;267;156;3;15;40.51;12.56;288;195;32;1478;468844;169.11;50.45;122.24;36.47;43.83;13.08;206.91;61.73;116.53;34.77;11.74;3.5;8.24;0.12;71;152.1;44.22;79;22.97;81.97;24.46;253.21;75.54;81.97;24.46;238.39;71.12;96.79;28.88;186.81;55.74;97.2;29;51.16;15.26;2;3
5ec85758-1d46-4d32-8854-c3a03fe7f458;NV vs 72 G1 2020-08-22.09.37;Mannfield (Night);2020-08-22 09:37:55;win;TEAM ENVY;72PC;Atomic;23;Octane;236;0;1;0;1;3;1;1;0;351;47.93;2173;1633;540;18;46;245;95;150;1;13;39.26;28.83;241;166;4;1511;477932;159.91;47.71;132.06;39.4;43.22;12.89;173.9;51.88;145.58;43.43;15.72;4.69;7.88;0.14;56;114.3;33.23;94.6;27.5;74.46;22.21;260.74;77.79;74.46;22.21;230.7;68.82;104.5;31.18;163.82;48.87;117.03;34.91;54.35;16.21;0;3
14fa4708-43ea-46dc-9442-2623985bb692;NV vs 72 G2 2020-08-22.09.44;Mannfield (Night);2020-08-22 09:44:12;loss;72PC;TEAM ENVY;Jacob;4770;Dominus;287;0;0;2;1;8;1;0;0;408;48.59;2431;1731;700;21;62;604;389;215;5;18;23.33;42.32;285;383;110;1484;458049;143.68;45.26;139.03;43.8;34.71;10.94;185.82;58.54;106.03;33.4;25.57;8.06;6.78;0.11;62;114.3;34.74;94.6;28.75;92.8;29.23;224.63;70.77;92.8;29.23;220.33;69.41;97.09;30.59;177.15;55.81;84.79;26.71;55.48;17.48;0;4
14fa4708-43ea-46dc-9442-2623985bb692;NV vs 72 G2 2020-08-22.09.44;Mannfield (Night);2020-08-22 09:44:12;win;TEAM ENVY;72PC;Atomic;23;Octane;94;0;0;0;2;3;0;0;0;363;54.75;2075;1307;768;16;67;346;177;169;2;16;27.72;42.28;329;337;41;1520;487749;159.67;48.46;129.35;39.26;40.48;12.29;193.68;58.78;119.87;36.38;15.96;4.84;7.8;0.14;56;85.8;26.08;90;27.36;58.33;17.7;271.18;82.3;58.33;17.7;203.7;61.82;125.8;38.18;121.8;36.96;136.75;41.5;70.96;21.54;2;0
14fa4708-43ea-46dc-9442-2623985bb692;NV vs 72 G2 2020-08-22.09.44;Mannfield (Night);2020-08-22 09:44:12;win;TEAM ENVY;72PC;mist;23;Octane;384;1;0;1;4;3;0;0;25;411;51.92;2263;1700;563;23;49;536;359;177;4;16;61.4;35.02;429;567;47;1628;518787;127.04;38.91;141.16;43.24;58.29;17.85;175.12;53.64;129.28;39.6;22.09;6.77;9.56;0.15;64;117.4;35.68;119.5;36.32;78.08;23.91;248.41;76.09;78.08;23.91;189.17;57.94;137.32;42.06;110.13;33.73;138.43;42.4;77.93;23.87;0;1
14fa4708-43ea-46dc-9442-2623985bb692;NV vs 72 G2 2020-08-22.09.44;Mannfield (Night);2020-08-22 09:44:12;win;TEAM ENVY;72PC;Turbopolsa;4284;Fennec;237;0;1;1;2;3;0;0;0;350;57.24;1913;1228;685;17;63;493;292;201;4;20;17.45;47.94;149;512;141;1501;479852;160.46;49.03;131.69;40.24;35.14;10.74;198.19;60.55;102.2;31.23;26.9;8.22;6.07;0.13;46;123.2;37.45;114.6;34.83;84.39;25.78;242.9;74.22;84.39;25.78;194.91;59.55;132.38;40.45;129.22;39.48;131.95;40.32;66.11;20.2;3;0
