team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
KNIGHTS;.ZPS;21;12;57.14;7421;353.38;17;0.81;10;0.48;29;1.38;72;3.43;170;8.1;39;1.86;6;0.29;23.61;388.85;49.46;49195;2342.62;31641;1506.71;17554;835.9;383;18.24;1542;73.43;9842;468.67;5340;254.29;4502;214.38;62;2.95;397;18.9;685.86;32.66;697.96;33.24;7267;346.05;6976;332.19;866;41.24;1510.42;10869970;517617.62;3701.92;176.28;2729.96;130;1159.13;55.2;4603.69;219.22;2578.88;122.8;408.44;19.45;201.97;9.62;0.11;1873;89.19;2279.4;108.54;2429.8;115.7;1865.38;88.83;5725.6;272.65;5113.45;243.5;2477.57;117.98;3772.11;179.62;2518.96;119.95;1299.92;61.9;18;0.86;28;1.33
PPS;AYYJAYY;15;9;60.00;6712;447.47;18;1.2;5;0.33;26;1.73;53;3.53;116;7.73;23;1.53;9;0.6;33.96;388.77;49.64;34576;2305.07;24360;1624;10216;681.07;303;20.2;845;56.33;7623;508.2;4986;332.4;2637;175.8;56;3.73;214;14.27;603.03;40.2;572.99;38.2;3817;254.47;6055;403.67;633;42.2;1438.28;7434689;495645.94;2808.83;187.26;2010.47;134.03;602.79;40.19;3059.95;204;1984.91;132.33;377.19;25.15;157.28;10.49;0.11;1363;90.87;1850.7;123.38;1597.8;106.52;1300.68;86.71;4121.37;274.76;3636.7;242.45;1785.35;119.02;2711.2;180.75;1713.35;114.22;997.49;66.5;11;0.73;14;0.93
CONTINUUM;Aeon;11;2;18.18;3839;349;5;0.45;6;0.55;19;1.73;14;1.27;107;9.73;38;3.45;12;1.09;35.71;398.27;51.38;26903;2445.73;18488;1680.73;8415;765;234;21.27;770;70;5918;538;3249;295.36;2669;242.64;42;3.82;242;22;385.88;35.08;462.86;42.08;3259;296.27;5214;474;1015;92.27;1601.54;5951544;541049.44;1660.37;150.94;1678.82;152.62;630.07;57.28;2331.27;211.93;1391.68;126.52;246.29;22.39;79.95;7.27;0.12;680;61.82;1172.5;106.59;1359.6;123.6;1286.86;116.99;2682.41;243.86;2680.58;243.69;1288.65;117.15;1975.17;179.56;1320.52;120.05;673.56;61.23;15;1.36;11;1
PPS;Allushin;15;9;60.00;4282;285.47;3;0.2;13;0.87;17;1.13;34;2.27;116;7.73;23;1.53;6;0.4;8.82;408.75;44.18;36301;2420.07;24260;1617.33;12041;802.73;275;18.33;1044;69.6;8165;544.33;4626;308.4;3539;235.93;51;3.4;309;20.6;907.2;60.48;316.23;21.08;5094;339.6;3190;212.67;376;25.07;1507.54;7790665;519377.66;2562.18;170.81;2118.22;141.21;735.97;49.06;3142.3;209.49;1935.28;129.02;338.76;22.58;120.37;8.02;0.09;1315;87.67;1624.6;108.31;1882.3;125.49;1498.67;99.91;3917.65;261.18;3512.03;234.14;1904.34;126.96;2543.84;169.59;1829.19;121.95;1043.29;69.55;13;0.87;15;1
TEAM FRONTLINE;Andy;21;8;38.10;8184;389.71;14;0.67;9;0.43;38;1.81;52;2.48;165;7.86;40;1.9;12;0.57;26.92;404.67;53.05;48971;2331.95;34815;1657.86;14156;674.1;425;20.24;1256;59.81;10174;484.48;6080;289.52;4094;194.95;75;3.57;355;16.9;717.42;34.16;513.21;24.44;5949;283.29;7850;373.81;1481;70.52;1591.95;11076744;527464;2949.64;140.46;3204.79;152.61;1137.87;54.18;3903.82;185.9;2891.72;137.7;496.78;23.66;134.98;6.43;0.09;1469;69.95;2286.1;108.86;2573.8;122.56;2003.39;95.4;5288.9;251.85;4790.59;228.12;2501.72;119.13;3523.73;167.8;2289.01;109;1479.57;70.46;10;0.48;22;1.05
SPACESTATION;Arsenal;10;9;90.00;4477;447.7;8;0.8;10;1;22;2.2;28;2.8;94;9.4;13;1.3;9;0.9;28.57;386.54;51.21;23095;2309.5;17016;1701.6;6079;607.9;209;20.9;545;54.5;4973;497.3;2840;284;2133;213.3;33;3.3;186;18.6;370.57;37.06;643.6;64.36;3933;393.3;3935;393.5;421;42.1;1469.66;5015872;501587.19;1829.95;182.99;1311.84;131.18;464.2;46.42;2107.61;210.76;1279;127.9;219.44;21.94;87.41;8.74;0.12;742;74.2;1167.4;116.74;1170.5;117.05;879.13;87.91;2726.88;272.69;2385.42;238.54;1220.6;122.06;1838.7;183.87;1086.23;108.62;681.08;68.11;10;1;5;0.5
CONTINUUM;Astroh;11;2;18.18;3368;306.18;8;0.73;5;0.45;12;1.09;19;1.73;107;9.73;38;3.45;7;0.64;42.11;356.11;45.1;23739;2158.09;17749;1613.55;5990;544.55;212;19.27;515;46.82;4313;392.09;2743;249.36;1570;142.73;32;2.91;139;12.64;488.43;44.4;492.76;44.8;4275;388.64;3296;299.64;483;43.91;1495.66;5540351;503668.28;1969.4;179.04;1460.23;132.75;536.75;48.8;2278.32;207.12;1489.35;135.4;198.71;18.06;39.89;3.63;0.13;308;28;1399.2;127.2;1161.1;105.55;1152.88;104.81;2813.49;255.77;2796.62;254.24;1169.78;106.34;2136.22;194.2;1209.42;109.95;620.75;56.43;7;0.64;12;1.09
TEAM ENVY;Atomic;11;9;81.82;2853;259.36;3;0.27;6;0.55;10;0.91;24;2.18;70;6.36;14;1.27;7;0.64;12.5;371.39;52.59;24198;2199.82;16884;1534.91;7314;664.91;201;18.27;635;57.73;4659;423.55;2487;226.09;2172;197.45;32;2.91;193;17.55;431.23;39.2;384.19;34.93;3403;309.36;3424;311.27;711;64.64;1510.31;5505262;500478.38;1835.38;166.85;1503.52;136.68;481.82;43.8;2074.58;188.6;1486.23;135.11;259.95;23.63;82.81;7.53;0.13;629;57.18;1113.3;101.21;1215.5;110.5;934.95;85;2885.75;262.34;2317.91;210.72;1502.82;136.62;1626.58;147.87;1320.27;120.02;873.9;79.45;12;1.09;8;0.73
VERSION1;AxB;17;7;41.18;5676;333.88;9;0.53;12;0.71;20;1.18;38;2.24;125;7.35;44;2.59;20;1.18;23.68;361.71;56.08;39059;2297.59;27095;1593.82;11964;703.76;346;20.35;1087;63.94;9436;555.06;6304;370.82;3132;184.24;77;4.53;279;16.41;440.16;25.89;508.27;29.9;2741;161.24;7678;451.65;1279;75.24;1453.72;8612535;506619.72;3233.68;190.22;2439.11;143.48;612.23;36.01;3733.93;219.64;2129.2;125.25;421.89;24.82;112.96;6.64;0.11;1018;59.88;2035;119.71;1875.4;110.32;1758.67;103.45;4526.32;266.25;4078.6;239.92;2206.36;129.79;3007.41;176.91;1972.35;116.02;1305.23;76.78;22;1.29;16;0.94
KC PIONEERS;BeastMode;17;7;41.18;6428;378.12;10;0.59;8;0.47;35;2.06;46;2.71;142;8.35;41;2.41;11;0.65;21.74;422.88;47.27;43201;2541.24;30014;1765.53;13187;775.71;349;20.53;1116;65.65;9100;535.29;5396;317.41;3704;217.88;61;3.59;329;19.35;927.49;54.56;445.53;26.21;5904;347.29;4656;273.88;641;37.71;1549.3;8927104;525123.75;2688.48;158.15;2512.44;147.79;886.61;52.15;3510.09;206.48;2125.43;125.03;452.02;26.59;118.49;6.97;0.11;1070;62.94;2263.8;133.16;1765;103.82;1574.28;92.6;4513.22;265.48;3911.87;230.11;2175.67;127.98;2800.06;164.71;2078.23;122.25;1209.25;71.13;14;0.82;18;1.06
