replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
0258ef96-daee-41a6-874c-29c514ee6ca5;PPS vs JJ G5 2020-08-22.11.05;DFH Stadium;2020-08-22 11:05:38;win;PPS;JJ;1862;2;2;11;11;14;1;18.18;1186;138.78;10820;7156;3664;87;307;2185;1092;1093;13;91;221.67;124.91;1372;1487;201;2343555;820.74;647.05;184.96;954.25;586.87;111.61;36.25;329;428.82;1223.91;428.82;1082.93;569.81;791.73;536.87;324.13;1;4
0258ef96-daee-41a6-874c-29c514ee6ca5;PPS vs JJ G5 2020-08-22.11.05;DFH Stadium;2020-08-22 11:05:38;loss;JJ;PPS;1411;1;1;8;14;11;2;7.14;1317;139.52;12101;8386;3715;99;310;2590;1582;1008;19;84;250.28;150.28;2655;1260;339;2558763;681.69;695.75;284.05;989.45;580.19;91.85;43.51;377;395.78;1265.7;395.78;1067.67;593.82;798.67;525.28;337.54;4;1
e59b7073-3fb0-401e-a2fc-944c6e2ae001;SSG vs PK G3 2020-08-22.11.52;DFH Stadium;2020-08-22 11:52:20;win;SPACESTATION;KNIGHTS;1907;5;5;8;9;12;2;55.56;1106;146.97;6700;4815;1885;57;169;993;643;350;8;32;124.69;188.25;1116;933;167;1500556;577.57;392.66;138.09;619.16;438.86;50.31;21.12;192;241.01;867.33;241.01;805.3;303.04;623.36;315.03;169.95;6;2
e59b7073-3fb0-401e-a2fc-944c6e2ae001;SSG vs PK G3 2020-08-22.11.52;DFH Stadium;2020-08-22 11:52:20;loss;KNIGHTS;SPACESTATION;1112;2;2;5;12;9;5;16.67;1190;160.12;7285;4950;2335;61;210;1829;1080;749;14;63;93.06;168.63;1217;1154;223;1504367;545.44;384.69;160.8;659.64;371.21;60.07;20.43;195;299.64;791.28;299.64;698.84;392.09;511.84;369.2;209.88;2;6
47cd32e4-162b-44bf-8981-8116291c0f1d;ALP vs CLT G1 2020-08-22.15.52;DFH Stadium;2020-08-22 15:52:30;loss;CHARLOTTE;ALPINE ESPORTS;823;2;2;1;10;7;5;20;1336;150.64;7999;5210;2789;62;249;1526;725;801;8;70;138.59;97.27;1219;941;95;1681649;435.16;443.54;221.68;636.24;409.27;54.85;25.27;220;314.15;786.21;314.15;711.84;388.53;511.13;375.3;213.95;2;2
47cd32e4-162b-44bf-8981-8116291c0f1d;ALP vs CLT G1 2020-08-22.15.52;DFH Stadium;2020-08-22 15:52:30;win;ALPINE ESPORTS;CHARLOTTE;1502;5;3;6;7;10;2;71.43;1251;155.87;7242;4972;2270;61;201;1543;940;603;12;54;119.65;107.91;1116;1149;277;1588644;489.85;419.3;189.77;635.61;396.67;66.61;26.72;273;297;801.9;297;728.32;370.58;541.05;351.69;206.15;2;2
dfa5b244-99c2-45d3-9689-fad57e2765d2;NRG vs SSG -3-2020-08-22.21.00;Utopia Coliseum (Dusk);2020-08-22 21:00:09;loss;NRG;SPACESTATION;735;0;0;5;7;6;2;0;1203;159.65;6421;4636;1785;60;162;1251;699;552;9;51;97.63;98.34;927;1346;207;1419372;416.38;373.71;162.72;560.19;344.55;48.06;25.26;257;274.71;678.09;274.71;600.83;351.97;431.78;296.92;224.1;4;7
dfa5b244-99c2-45d3-9689-fad57e2765d2;NRG vs SSG -3-2020-08-22.21.00;Utopia Coliseum (Dusk);2020-08-22 21:00:09;win;SPACESTATION;NRG;1166;2;2;7;6;7;0;33.33;1183;148.16;6510;4622;1888;56;154;1167;691;476;8;34;124.94;129.8;880;1031;112;1393823;444.99;400.12;118.43;589.02;325.93;48.58;20.84;190;241.3;722.23;241.3;657.89;305.64;507.8;290.97;164.76;7;4
1ed8ecc6-be26-4d28-a6f7-ac2575b385ef;PPS vs JJ G4 2020-08-22.10.55;DFH Stadium;2020-08-22 10:55:31;loss;PPS;JJ;553;0;0;2;8;6;1;0;1177;142.54;6237;4218;2019;49;170;1330;748;582;9;51;169.82;77.71;818;709;157;1415458;456.18;398.1;118.47;569.19;355.06;48.51;23.39;219;303.92;668.83;303.92;612.2;360.56;460.64;302.01;210.12;2;1
1ed8ecc6-be26-4d28-a6f7-ac2575b385ef;PPS vs JJ G4 2020-08-22.10.55;DFH Stadium;2020-08-22 10:55:31;win;JJ;PPS;1026;1;1;5;6;8;0;16.67;1347;134.41;7294;5110;2184;59;189;1318;646;672;8;61;138.45;104.02;1336;806;160;1494997;390.22;409.31;170.12;551.55;362.13;55.98;23.87;202;232.21;737.44;232.21;624.88;344.79;468.32;302.05;199.3;1;2
ae159d39-448c-4a54-8853-f649d216705c;KCP  vs ALP G1 2020-08-22.15.30;DFH Stadium (Day);2020-08-22 15:30:06;loss;KC PIONEERS;ALPINE ESPORTS;1410;1;0;8;8;13;2;12.5;1213;148.65;11074;7677;3397;99;283;2874;1718;1156;22;93;204.95;185.45;1582;1827;411;2424459;744.65;672.8;212.34;990.86;527.75;111.18;37.68;357;429.2;1200.57;429.2;977.45;652.34;680.28;557.21;392.31;5;3
ae159d39-448c-4a54-8853-f649d216705c;KCP  vs ALP G1 2020-08-22.15.30;DFH Stadium (Day);2020-08-22 15:30:06;win;ALPINE ESPORTS;KC PIONEERS;1498;2;1;4;13;8;1;15.38;1226;160.26;10960;7156;3804;87;335;2027;1206;821;14;75;224.24;154.54;1827;1728;208;2453420;699.84;671.95;251.94;931.57;579.59;112.56;36.93;346;459.24;1164.48;459.24;1127.16;496.57;844.09;490.66;288.96;3;5
efe65d28-b336-43ab-84c3-ce1d615dbf46;V1 vs CTM G4 2020-08-22.15.55;DFH Stadium;2020-08-22 15:55:39;win;VERSION1;CONTINUUM;1005;2;2;3;9;6;1;22.22;1300;152.8;8670;6036;2634;72;231;2790;1926;864;22;77;122.67;100.62;826;1196;275;1786468;513.98;505.04;177.34;655.97;467.52;72.87;23.82;213;296.34;900.03;296.34;610.12;586.23;385.66;464.78;345.94;3;2
efe65d28-b336-43ab-84c3-ce1d615dbf46;V1 vs CTM G4 2020-08-22.15.55;DFH Stadium;2020-08-22 15:55:39;loss;CONTINUUM;VERSION1;1207;1;1;7;6;9;2;16.67;1106;137.44;7356;5132;2224;61;197;1498;961;537;11;47;154.05;143.22;1081;1015;149;1721163;576.7;471.17;144.9;675.88;440.77;76.12;18.14;160;383.78;809;383.78;907.4;285.37;682.85;374.32;135.61;2;3
6f232aec-435f-4fc4-bb35-496b0c9bc198;ALP vs TFL G2 2020-08-22.17.43;DFH Stadium;2020-08-22 17:43:31;win;ALPINE ESPORTS;TEAM FRONTLINE;790;1;1;3;5;3;0;20;1213;167.82;6584;4552;2032;57;186;1938;1255;683;14;62;73.7;155.46;1052;1215;162;1462437;446.29;381.96;151.45;568;351.27;60.43;24;227;263.31;716.38;263.31;613.7;366;405.67;372.64;201.39;5;2
